state,any_mental_per,any_mental_num,ser_mental_per,ser_mental_num,teen_dep,adu_dep,ado_dep,ado_dep_m,ado_dep_f
Alabama,0.212,797000,0.062,234000,0.161,0.072,0.161,0.052,0.284
Alaska,0.222,117000,0.058,30000,0.203,0.081,0.203,0.147,0.293
Arizona,0.239,1339000,0.064,360000,0.17,0.106,0.17,0.085,0.264
Arkansas,0.226,514000,0.073,166000,0.17,0.11,0.17,0.09,0.301
California,0.205,6169000,0.046,1373000,0.142,0.069,0.142,0.082,0.205
Colorado,0.232,1028000,0.059,264000,0.139,0.083,0.139,0.101,0.173
Connecticut,0.188,524000,0.048,134000,0.146,0.07,0.146,0.055,0.245
Delaware,0.205,156000,0.054,41000,0.137,0.091,0.137,0.059,0.224
District of Columbia,0.23,131000,0.05,29000,0.126,0.071,0.126,0.088,0.158
Florida,0.175,2985000,0.052,878000,0.167,0.073,0.167,0.106,0.238
Georgia,0.176,1397000,0.048,378000,0.135,0.061,0.135,0.056,0.207
Hawaii,0.179,189000,0.044,46000,0.185,0.061,0.185,0.103,0.26
Idaho,0.249,333000,0.064,86000,0.237,0.116,0.237,0.16,0.3
Illinois,0.207,2000000,0.054,525000,0.173,0.076,0.173,0.079,0.261
Indiana,0.218,1109000,0.068,348000,0.138,0.092,0.138,0.064,0.207
Iowa,0.21,503000,0.06,142000,0.183,0.078,0.183,0.092,0.271
Kansas,0.26,560000,0.067,145000,0.183,0.115,0.183,0.089,0.295
Kentucky,0.219,742000,0.064,218000,0.12,0.087,0.12,0.078,0.154
Louisiana,0.212,733000,0.056,192000,0.202,0.077,0.202,0.107,0.269
Maine,0.216,234000,0.06,65000,0.188,0.111,0.188,0.105,0.267
Maryland,0.178,822000,0.045,208000,0.179,0.057,0.179,0.103,0.251
Massachusetts,0.214,1172000,0.053,288000,0.162,0.109,0.162,0.109,0.218
Michigan,0.223,1729000,0.055,426000,0.168,0.096,0.168,0.098,0.257
Minnesota,0.232,997000,0.062,265000,0.224,0.104,0.224,0.106,0.328
Mississippi,0.211,465000,0.055,121000,0.153,0.068,0.153,0.068,0.239
Missouri,0.213,996000,0.063,292000,0.168,0.082,0.168,0.106,0.246
Montana,0.234,195000,0.062,51000,0.185,0.092,0.185,0.075,0.279
Nebraska,0.234,335000,0.063,90000,0.203,0.101,0.203,0.122,0.262
Nevada,0.214,508000,0.064,152000,0.186,0.091,0.186,0.142,0.239
New Hampshire,0.237,260000,0.051,55000,0.194,0.085,0.194,0.122,0.263
New Jersey,0.183,1251000,0.045,306000,0.103,0.07,0.103,0.026,0.187
New Mexico,0.212,337000,0.053,85000,0.173,0.105,0.173,0.105,0.23
New York,0.188,2855000,0.045,676000,0.155,0.064,0.155,0.065,0.242
North Carolina,0.198,1592000,0.054,430000,0.14,0.078,0.14,0.086,0.201
North Dakota,0.208,118000,0.061,34000,0.184,0.064,0.184,0.178,0.194
Ohio,0.243,2177000,0.069,613000,0.187,0.098,0.187,0.071,0.301
Oklahoma,0.256,752000,0.068,201000,0.129,0.108,0.129,0.069,0.2
Oregon,0.273,909000,0.072,238000,0.232,0.115,0.232,0.129,0.337
Pennsylvania,0.197,1963000,0.052,514000,0.124,0.069,0.124,0.064,0.193
Rhode Island,0.241,202000,0.056,47000,0.159,0.109,0.159,0.083,0.261
South Carolina,0.217,862000,0.06,239000,0.101,0.083,0.101,0.055,0.15
South Dakota,0.213,139000,0.064,42000,0.24,0.084,0.24,0.148,0.361
Tennessee,0.205,1073000,0.063,331000,0.204,0.085,0.204,0.13,0.285
Texas,0.18,3825000,0.048,1020000,0.171,0.073,0.171,0.114,0.229
Utah,0.297,675000,0.076,173000,0.193,0.119,0.193,0.092,0.316
Vermont,0.237,120000,0.061,31000,0.173,0.079,0.173,0.099,0.233
Virginia,0.205,1331000,0.049,317000,0.243,0.074,0.243,0.137,0.348
Washington,0.255,1500000,0.064,378000,0.201,0.101,0.201,0.139,0.282
West Virginia,0.261,366000,0.07,98000,0.204,0.102,0.204,0.157,0.25
Wisconsin,0.218,982000,0.056,252000,0.103,0.09,0.103,0.024,0.192
Wyoming,0.236,103000,0.064,28000,0.138,0.087,0.138,0.081,0.213
